arr_port^pax^aeropuertos
LHR     ^88809^London Heathrow Airport
MCO     ^70930^Orlando International Airport
LAX     ^70530^Los Angeles International Airport
LAS     ^69630^Mc Carran International Airport
JFK     ^66270^John F Kennedy International Airport
CDG     ^64490^Paris - Charles-de-Gaulle
BKK     ^59460^Suvarnabhumi
MIA     ^58150^Miami International Airport
SFO     ^58000^San Francisco International Airport
DXB     ^55590^Dubai International Airport
ORD     ^53200^Chicago O'Hare International Airport
FCO     ^45120^Leonardo da Vinci–Fiumicino Airport
IST     ^43850^Istanbul / Ataturk
DFW     ^42420^Dallas/Fort Worth International Airport
CUN     ^42000^Cancún International Airport
MAD     ^41410^Madrid / Barajas
BCN     ^41200^Barcelona–El Prat Airport
LGA     ^40712^La Guardia Airport
ATL     ^39780^Hartsfield - Jackson Atlanta International Airport
EWR     ^36890^Newark International Airport
BOS     ^35840^General Edward Lawrence Logan International Airport
DEL     ^35680^New Delhi / Palam
SYD     ^33690^Sydney International Airport
BOM     ^33440^Bombay / Santacruz
MUC     ^33180^Munich International Airport
DEN     ^32630^Denver International Airport
MNL     ^32400^Ninoy Aquino Manila International Airport
HKG     ^32020^Hong Kong International Airport
FRA     ^31970^Frankfurt Airport
ORY     ^31800^Paris-Orly
SEA     ^31530^Seattle-Tacoma International Airport
FLL     ^31170^Fort Lauderdale-Hollywood International Airport
TXL     ^30590^Berlin Tegel Airport
AMS     ^30580^Amsterdam Airport Schiphol
PHX     ^29730^Phoenix Sky Harbor International Airport
DCA     ^29000^Ronald Reagan Washington National Airport
MEX     ^28120^Mexico City International Airport
IAH     ^28090^George Bush Intercontinental/Houston Airport
JED     ^27090^Jeddah King Abdul Aziz International Airport
PVG     ^26630^Shanghai Pudong International Airport
YYZ     ^26070^Toronto Pearson Int'L. Ont.
VIE     ^25750^Flughafen Wien-Schwechat
LIS     ^25050^Lisboa / Portela
SIN     ^24874^Singapore Changi Airport
CAI     ^24640^Cairo International Airport
HNL     ^24140^Honolulu International Airport
ATH     ^24100^Athens Eleftherios Venizelos International Airport
MEL     ^23830^Melbourne Airport
SAN     ^23720^San Diego International Airport
JNB     ^23710^Oliver Reginald Tambo International
PEK     ^23680^Beijing Capital International Airport
BOG     ^23090^El Dorado International Airport
PHL     ^22210^Philadelphia International Airport
ARN     ^21800^Stockholm-Arlanda Airport
TPA     ^21530^Tampa International Airport
SVO     ^21292^Sheremetyevo International Airport
BRU     ^20940^Bruxelles National
ZRH     ^20190^Zurich-Kloten
TLV     ^20190^Ben Gurion Airport
LIM     ^20150^Jorge Chávez International Airport
MSP     ^20030^Minneapolis-Saint Paul International Airport
CPH     ^19740^Copenhagen Airport
BNE     ^19480^Brisbane Airport
RUH     ^19440^King Khalid International
IAD     ^19170^Washington Dulles International Airport
ICN     ^18560^Incheon International Airport
DUS     ^18250^Düsseldorf International Airport
KUL     ^18200^Sepang/KL International Airport
DTW     ^17800^Detroit Metropolitan Wayne County Airport
OSL     ^17000^Oslo Airport, Gardermoen
MXP     ^16950^Aeroporto della Malpensa
CLT     ^16862^Charlotte/Douglas International Airport
NRT     ^16570^Narita International Airport
LED     ^15960^Pulkovo Airport
YVR     ^15920^Vancouver International Airport
CPT     ^15840^Cape Town International Airport
MSY     ^15820^Louis Armstrong New Orleans International Airport
HAM     ^15640^Hamburg Airport
PUJ     ^14960^Aeropuerto Internacional Punta Cana
AKL     ^14940^Auckland International Airport
MAA     ^14940^Chennai International Airport
NCE     ^14880^Nice Côte d'Azur International Airport
GVA     ^14720^Aéroport Genève-Cointrin
TPE     ^14450^Taiwan Taoyuan International Airport
YUL     ^14040^Montreal / Pierre Elliot Trudeau International Airport, Que
HKT     ^14040^Phuket International Airport
LIN     ^14020^Milano Linate Airport
PRG     ^13990^Prague Ruzyně International Airport
GRU     ^13850^Guarulhos Airport
PMI     ^13840^Palma de Mallorca Airport
TUN     ^13830^Tunis-Carthage
SJU     ^13730^Luis Munoz Marin International Airport
DME     ^13600^Domodedovo International Airport
BWI     ^13590^Baltimore-Washington International Airport
SLC     ^13530^Salt Lake City International Airport
BLR     ^13490^Bengaluru International Airport
PER     ^13300^Perth Airport
DUB     ^12900^Dublin Airport
STL     ^12760^Lambert–St. Louis International Airport
DPS     ^12740^Ngurah-Rai Airport
SGN     ^12700^Tan Son Nhat International Airport
PDX     ^12550^Portland International Airport
DAC     ^12420^Kurmitola, Dia
RSW     ^12310^Southwest Florida International Airport
AMM     ^12310^Queen Alia International
VCE     ^12030^Marco Polo Airport
HEL     ^11930^Helsinki-Vantaa Airport
